IPCC-Annex;World Region;ISO_A3;Name;IPCC;IPCC_description;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Annex_I;Canada;CAN;Canada;1A1a;Public electricity and heat production;44686.8;48970.5;49761.7;51460.5;50098;53486;58083.5;64831.5;64447.2;68919.1;74759.8;75146.3;81651.3;85338;91935.6;87823;80315;81884.2;99242.7;108619;97047.7;98505.9;105029;95552.1;98106.7;101857;100609;111805;124939;123617;135304;137762;132534;137175;129353;126897;120404;135015;119497
Annex_I;Canada;CAN;Canada;1A1bc;Other Energy Industries;28823.6;30384.1;31996.2;34138.6;32435.8;33730.5;32114;34050.8;36462.2;33170.3;32151.5;30043.5;28845.8;27356.5;30308.4;32525.1;34992.5;34988.2;41002.7;39189.8;40691.1;39873.3;40329.1;41428.8;43452.9;44973.9;47517.2;48927.6;50122.1;53049.9;53401.6;56310.6;61598.7;65415.4;61948.1;63135.7;61801.5;64020;62860.8
Annex_I;Canada;CAN;Canada;1A2;Manufacturing Industries and Construction;78434.4;77364.7;78720.9;95423.7;99443.3;90322.3;89962.1;94679;90448;95212.2;96775.2;87913.5;77226.2;74244.1;78871.3;77564.6;77450.5;77180.9;82395.4;82396.8;76057.1;74415.6;73415.6;72036.5;75141.5;76285.2;79832.6;80110.7;77265.9;77927.5;82183.1;76281.2;77643.2;81354.9;83469.2;87832.1;81053.8;89894.1;83855.5
Annex_I;Canada;CAN;Canada;1A3a;Domestic aviation;5964.22;6135.11;6473.2;7337.89;8017.73;8293.15;8164.43;8179.09;8792.32;10265.5;10445.5;10589.6;8145.77;9152.73;9385.9;10083.1;10096.9;10096.9;11005.8;10879.4;10366.5;9225.15;9394.59;9095.62;9699.7;10506.4;11594.1;12041.3;12494.1;13082.3;13224.4;11645.4;12739.2;13239.1;14265.6;15123.4;14902.2;16152.3;16003.3
Annex_I;Canada;CAN;Canada;1A3b;Road transportation;64347.2;66724;71534.9;78367.3;82011.1;85369.7;91038.4;92534.9;96309.7;101087;102609;100073;88252.1;86822.3;88672.2;89558.3;90763.9;90763.9;98150;99292.1;96919.9;93868.7;95613.2;98014.1;102753;105453;107254;111078;112923;115840;115575;115629;117073;120382;123768;124141;124597;128546;127087
Annex_I;Canada;CAN;Canada;1A3c;Rail transportation;6102.8;6462.49;6787.88;6931.14;7390.58;6850.67;6086.94;6158.3;6369.27;6654.69;6726.04;6518.18;5990.77;5658.82;6189.33;6105.56;5382.7;5382.7;6086.94;6518.18;6387.88;5913.21;6186.22;6164.5;6378.57;5776.7;5649.5;5723.97;5466.46;5786.01;5819.98;5720.86;5191.21;5172.62;5259.35;5528.82;5702.28;6058.48;6343.43
Annex_I;Canada;CAN;Canada;1A3d;Inland navigation;4323.81;4532.77;5056.42;5353.27;5014.04;3895.15;4044.5;4146.12;4960.54;4803.48;5934.52;7401.77;5339.48;4443.83;4402.46;4082.26;4186.03;4186.03;5260.83;5526.06;4670.69;4862.1;4724.62;4139.06;4308.44;4031.62;4128.27;4178.55;4781.16;4601.89;4682.44;5070.55;5050.31;5712.76;6128.69;5956.88;5303.55;5653.87;5401.82
Annex_I;Canada;CAN;Canada;1A3e;Other transportation;;;;;;;;;265.992;4650;3921.7;4126.62;3760.47;2847.07;3660.27;4608.21;3965.92;3965.92;6176.41;6548.26;6757.86;7497.76;9715.87;10220.2;10781.8;11855;12360.2;12405.2;12377.6;12448;11088.9;10112.1;10727.3;9001.11;8429.61;10037.6;9522.69;9665.59;7454.98
Annex_I;Canada;CAN;Canada;1A4;Residential and other sectors;99039.7;99369.2;106722;95367.5;100375;94949.8;99331.7;97654;96189.2;93397.9;90363.8;84263;90285.4;84672.3;82496.7;82946;79899.9;79878.7;78322.9;83917.7;80975.3;79483.3;81925.3;85850.1;87079.7;87456.1;93216.4;91862.6;83743.6;87781.1;95469.2;91972.8;96297.1;102171;100567;99800.1;94618.7;99792.7;99897
Annex_I;Canada;CAN;Canada;1B1;Fugitive emissions from solid fuels;2912.3;2750.02;2580.33;3080.34;2381.85;2123.13;2406.75;1875.94;2355.68;2500.86;2325.03;1995.94;1750.54;1789.87;1810.82;1622.92;1693.23;1693.23;1038.96;975.09;877.33;916.83;653.58;377.5;466.38;261.77;629.15;676.67;707.06;766.57;682.19;821.92;921.4;726.64;725.15;628.99;1021.26;1270.43;1324.93
Annex_I;Canada;CAN;Canada;1B2;Fugitive emissions from oil and gas;2168.64;2064.35;1998.26;1959.08;1655.43;1273.24;1161.62;1116.08;1203.21;1397.91;1485.73;1404.52;1357.76;1453.3;1994.33;2299.69;2187.78;2181.86;2396.07;2165.8;2037.45;2212.99;2102.68;2128.19;2142.27;2888.01;2690.3;2654.78;3615.75;3337.7;3413.75;3411.68;2786.7;3020.84;2753.6;2521.3;3198.55;3652.66;3555.04
Annex_I;Canada;CAN;Canada;2A1;Cement production;3596.32;4096.77;4461.37;4940.92;5168.56;4733.64;4795.56;4794.2;5052.6;5515.4;4923.4;4862.34;3869.76;3731.17;4439.59;4809.3;4984.12;5908.14;5798.24;5875.38;5487;4469.49;4501.16;4582.32;5416.6;6094.4;5800;6228;6388.8;6652.8;6766.2;6579.2;6785.8;6855.58;7139.45;7217.11;7117.82;7297.75;6617.25
Annex_I;Canada;CAN;Canada;2A2;Lime production;1117.88;1040.32;1163.47;1286.62;1366.88;1285.28;1200.9;1424.7;1525.43;1394.78;1915.27;1915.95;1647.9;1673.77;1699.57;1658.77;1681.95;1701;1888.73;1913.93;1755;1785;1785;1785;1792.5;1798.5;1801.5;1857.75;1885.5;1923.75;1893.75;1659.75;1686;1665.75;1807.5;1807.5;1807.5;1600.5;1551.75
Annex_I;Canada;CAN;Canada;2A7;Production of other minerals;265.355;275.979;291.991;290.752;297.775;295.6;320.898;320.898;320.898;320.898;320.898;320.898;320.898;301.644;256.719;247.091;247.091;231.047;231.047;231.047;1130.83;1119.87;1172.44;913.235;887.683;903.412;896.506;939.639;889.737;876.643;1014.02;739.592;495.39;456.564;434.269;447.685;516.797;363.209;334.879
Annex_I;Canada;CAN;Canada;2B;Production of chemicals;3079.63;3275.2;3487.4;3710.32;3737.38;3496.81;4115.29;5288.36;5839.29;6252.09;5322.55;5927.52;6062.21;7589.57;9172.08;9461.3;7930.55;8248.76;9324.82;9852.6;9226.65;9093.38;9158.14;9571.78;9784.29;10479;10767.8;11077.5;10954.6;11261.2;10968.7;10243.9;11084.7;11128.4;11749.5;12251.5;12797.4;13471;14047.2
Annex_I;Canada;CAN;Canada;2C;Production of metals;6824.61;6527.85;7175.59;7500.03;6934.91;6491.28;6068.68;6346.42;6223.66;6248.48;5934.6;5700.36;4670.12;4632.69;5202.05;5122.23;4839.8;5350.28;5270.79;5480.8;5179.69;5302.87;5087.93;5410.82;5326.78;5357.91;5501.4;5627.08;5796.34;5844.29;5825.72;6073.77;6393.18;6363.52;6093.52;6471.29;6821.45;6664.79;6613.4
Annex_I;Canada;CAN;Canada;2G;Non-energy use of lubricants/waxes (CO2);425.206;462.074;486.038;535.809;543.183;521.062;535.809;583.737;556.701;577.592;573.291;559.159;476.207;473.322;498.499;492.995;515.739;568.582;497.863;499.749;497.921;461.675;459.208;478.934;526.927;534.964;534.965;583.508;560.689;568.68;591.725;554.857;648.255;664.231;645.182;663.617;608.93;617.533;591.725
Annex_I;Canada;CAN;Canada;3A;Solvent and other product use: paint;416.434;398.752;381.071;363.389;345.708;328.027;338.857;349.69;360.521;371.353;382.184;371.91;361.636;351.362;341.088;330.812;331.404;331.998;332.589;333.181;333.773;335.63;342.538;349.213;357.689;358.908;317.926;326.284;298.885;292.327;280.427;290.935;248.327;248.327;248.327;248.327;248.327;248.327;248.327
Annex_I;Canada;CAN;Canada;3B;Solvent and other product use: degrease;209.439;200.547;191.654;182.762;173.869;164.976;170.424;175.872;181.319;186.767;192.214;187.047;181.88;176.712;171.545;166.378;166.675;166.974;167.271;167.569;167.867;168.801;172.275;175.632;179.894;180.508;159.896;164.101;150.321;147.022;141.037;146.321;124.893;124.893;124.893;124.893;124.893;124.893;124.893
Annex_I;Canada;CAN;Canada;3C;Solvent and other product use: chemicals;25.3349;24.2591;23.1835;22.1077;21.0321;19.9563;20.6153;21.2743;21.9333;22.5922;23.2512;22.6262;22.0011;21.376;20.751;20.1259;20.1619;20.1979;20.234;20.2699;20.306;20.419;20.8393;21.2454;21.7609;21.8351;19.3419;19.8504;18.1836;17.7845;17.0606;17.6997;15.1077;15.1077;15.1077;15.1077;15.1077;15.1077;15.1077
Annex_I;Canada;CAN;Canada;3D;Solvent and other product use: other;495.826;474.775;453.722;432.67;411.617;390.566;403.463;416.359;429.256;442.152;455.05;442.816;430.584;418.35;406.117;393.882;394.588;395.293;395.997;396.704;397.408;399.619;407.844;415.792;425.884;427.335;378.541;388.491;355.871;348.06;333.891;346.402;295.672;295.672;295.672;295.672;295.672;295.672;295.672
Annex_I;Canada;CAN;Canada;4D4;Other direct soil emissions;130.13;137.044;152.292;170.364;190.043;219.272;255.892;339.806;406.943;485.357;524.96;558.433;664.386;803.928;912.205;940.651;899.984;910.834;925.918;941.165;892.453;961.313;977.971;1073.19;1120.52;1222.35;1277.35;1351.04;1255.22;1340.23;1339.76;1319.65;1399.82;1372.64;1345.44;1350.51;1355.55;1360.6;1365.65
Annex_I;Canada;CAN;Canada;5A;Forest fires;34920.9;40592.4;12536;12536;19400.9;22982.2;54321.8;33130.3;7163.41;77901.4;116107;119986;39399.1;39995;14923.8;18803.5;22386.3;23579.6;30742.2;152521;22982.2;39995;20893.6;50143.1;153416;161473;34623;11043.6;237191;99357.9;23730.1;12653.3;48700.5;122284;125739;40300.7;9360.96;8645.43;3355.52
Annex_I;Canada;CAN;Canada;5D;Peat fires and decay of drained peatland;;67.65;135.3;202.95;270.6;338.25;405.9;473.55;541.2;608.85;676.5;744.15;811.8;879.45;947.1;1014.75;1082.4;1150.05;1217.7;1285.35;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353
