year;region;value
1990;World;271.50
1991;World;291.72
1992;World;311.94
1993;World;332.16
1994;World;352.38
1995;World;372.61
1996;World;403.74
1997;World;434.87
1998;World;466.00
1999;World;497.14
2000;World;528.27
2001;World;556.95
2002;World;585.63
2003;World;614.31
2004;World;642.99
2005;World;671.66
2006;World;712.61
2007;World;753.55
2008;World;794.49
2009;World;835.43
2010;World;876.38
2011;World;948.39
2012;World;1020.41
2013;World;1092.43
2014;World;1164.44
2015;World;1236.46
2016;World;1308.48
2017;World;1380.49
2018;World;1452.51
2019;World;1524.53
2020;World;1596.54
2021;World;1490.11
2022;World;1383.67
2023;World;1277.23
2024;World;1170.80
2025;World;1064.36
2026;World;957.93
2027;World;851.49
2028;World;745.05
2029;World;638.62
2030;World;532.18
