"Annual greenhouse gas (GHG) emissions for Norway, in Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Norway — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: CH4 — Unit: Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","0.016997321397","0.016997321397","0.0189168865063","0.0236980841699","0.027740693009200002","0.029061693428700002","0.0283404667193","0.0295926031162","0.032972980457299995","0.0309799091447","0.029100860242600002","0.033743879522999995","0.0382972312531","0.0353152087052","0.036640977571900005","0.0399754185033","0.0359110611686","0.0326642377696","0.0368306203883","0.0339012667203","0.033203037065799995","0.033769427766","0.0313677121459","0.0299229477844","0.030776448554400003","0.0354591392889","0.0327256683869"
"1.B.2.a  Oil","0.0092407121078","0.0092407121078","0.0105601070124","0.0144423277493","0.0181434124915","0.018662641190300002","0.018185492462199998","0.018301714219699998","0.0215114750844","0.0203460232184","0.0191626635547","0.020927077271300002","0.023363360679","0.020471357358","0.017553372098","0.018069744255","0.016035965303000003","0.012927069508","0.0159578201","0.0131278944669","0.0129232212542","0.0130086747615","0.011949065666","0.0112679351079","0.010528962030100001","0.0097134364246","0.009595670156100001"
"1.B.2.b  Natural Gas","0.00011992064430000001","0.00011992064430000001","0.0003114206443","0.0005029206443000001","0.0006261944028000001","0.0007160530818000001","0.0007441202517","0.0009794257292","0.001103640663","0.0010758346092","0.0010614464376","0.0013578752503","0.0014574303688","0.001811376348","0.0017469778709","0.0018358082402","0.0020059669153000003","0.0020484941855","0.0022423187334","0.0023350289175999997","0.0026611049047000003","0.0026894069436999997","0.0027740458679","0.0024680007186","0.0027722784773","0.0027780865617","0.0027998059569"
"1.B.2.c  Venting and Flaring","0.007636688644900001","0.007636688644900001","0.0080453588496","0.0087528357763","0.0089710861149","0.0096829991566","0.0094108540054","0.0103114631673","0.0103578647099","0.0095580513171","0.0088767502503","0.011458927001399999","0.0134764402053","0.0130324749992","0.017340627603","0.020069866008100002","0.0178691289503","0.0176886740761","0.018630481554900002","0.0184383433358","0.0176187109069","0.0180713460608","0.016644600612000002","0.0161870119579","0.017475208047","0.0229676163026","0.0203301922739"
"1.B.2.d  Other","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 14:56:57 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
