"Annual greenhouse gas (GHG) emissions for Norway, in Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Norway — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: CO2 — Unit: Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","2.8614301821848","2.8614301821848","2.2181154202508","2.5370065637748","2.6964509987297","2.826357925267","2.7339967967012","3.1107671375384997","2.9125261684983","3.0613075662802997","3.6668404605380997","3.8477553979853","3.5406479974392","2.996799612269","2.8664111391000002","2.709660348864","2.6597166098550002","2.59776560403","3.7754136189670002","3.0768428642320002","2.455455819622","2.6550982314236004","2.6436117593007897","2.6699164768359997","2.655839624775","2.2942469329649997","2.562160825219"
"1.B.2.a  Oil","1.143800470854","1.143800470854","1.069719129179","1.384320742654","1.448039831483","1.484522841632","1.374962401382","1.5431422748249998","1.429766975719","1.5320347631370001","1.5998691931409998","1.7112431912400001","1.6971447832680002","1.5620447834189998","1.5342059302","1.3428186738130001","1.2832151595299998","1.258228483778","1.152176987219","0.8590638246510001","1.017981383622","1.021582816468","1.134120192955","1.249099104706","1.1848551803320002","0.9194443978429999","1.079674149194"
"1.B.2.b  Natural Gas","0.0031017817718","0.0031017817718","0.0032962067718","0.0030462317718","0.0035656346077","0.004883449235","0.0047357511622","0.006545083473500001","0.0081050867783","0.0083891306433","0.0078574922371","0.008436508116300001","0.0088601532712","0.0127677","0.011374","0.0111738","0.011560395","0.011135905","0.010346450768","0.010542184181","0.010980750000000001","0.01098482","0.010781980000000001","0.011251075000000001","0.011699875","0.011247115","0.010911450000000001"
"1.B.2.c  Venting and Flaring","1.714527929559","1.714527929559","1.1451000843","1.1496395893490001","1.244845532639","1.3369516344","1.354298644157","1.56107977924","1.4746541060009998","1.5208836725000001","2.05911377516","2.1280756986290003","1.8346430609","1.4219871288500001","1.3208312089","1.355667875051","1.364941055325","1.328401215252","2.6128901809800004","2.2072368554","1.4264936860000001","1.6225305949556001","1.49870958634579","1.4095662971299998","1.4592845694430001","1.363555420122","1.471575226025"
"1.B.2.d  Other","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 14:56:33 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
