"Annual greenhouse gas (GHG) emissions for Norway, in Mt CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Norway — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: Aggregate GHGs — Unit: Mt CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","3.2913429400902","3.2913429400902","2.6947906186589003","3.1333623745695","3.3941015526101","3.5573013144827","3.4469761883511003","3.8556645543066996","3.7418185880754","3.8408319053472","4.4006042127139","4.6960918395973","4.5022923238109","3.8829146461826","3.7853854922281003","3.7122275525295","3.5605622727772004","3.4173526589756","4.7027055401353","3.9301976459991","3.2888287040436004","3.5029652456678","3.43100988116549","3.4211165363511995","3.4285108560932","3.1837027344987","3.3832879648985"
"1.B.2.a  Oil","1.374818273549","1.374818273549","1.333721804489","1.7453789363865002","1.9016251437705","1.9510888713895002","1.829599712937","2.0006851303174997","1.967553852829","2.040685343597","2.0789357820085","2.2344201230225","2.281228800243","2.073828717369","1.97304023265","1.794562280188","1.684114292105","1.5814052214780001","1.551122489719","1.1872611863234998","1.341061914977","1.3467996855055","1.4328468346049996","1.5307974824035","1.4480792310845003","1.162280308458","1.3195659030965"
"1.B.2.b  Natural Gas","0.0060997978793","0.0060997978793","0.011081722879300001","0.0156192478793","0.0192204946777","0.02278477628","0.0233387574547","0.031030726703500003","0.03569610335330001","0.0352849958733","0.0343936531771","0.0423833893738","0.0452959124912","0.0580521087","0.0550484467725","0.057069006005","0.0617095678825","0.0623482596375","0.06640441910299999","0.068917907121","0.0775083726175","0.0782199935925","0.0801331266975","0.072951092965","0.08100683693249999","0.0806992790425","0.0809065989225"
"1.B.2.c  Venting and Flaring","1.9104248686619","1.9104248686619","1.3499870912906002","1.3723641903037","1.4732559141619","1.5834276668132001","1.5940377179594","1.8239486972857002","1.7385686318930997","1.7648615658769002","2.2872747775283","2.4192883272010004","2.1757676110767","1.7510338201136002","1.7572968128056003","1.8605962663365","1.8147384127897","1.7735991778601","3.0851786313133007","2.6740185525546","1.8702584164491003","2.0779455665698","1.91802991986299","1.8173679609826998","1.8994247880762","1.9407231469981998","1.9828154628794998"
"1.B.2.d  Other","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 14:57:17 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
