"Annual greenhouse gas (GHG) emissions for Russian Federation, in Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Russian Federation — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: CH4 — Unit: Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","25.144183407241794","25.144183407241794","23.18898490258029","20.611100125307548","18.75948256928254","17.13728656284772","16.632915911542405","16.498324630506165","16.583366945143357","16.58896117480595","16.76359888640558","17.523287539815143","18.418464856177905","19.689833415999757","21.52588783746747","23.066816750335633","23.573870872236796","24.11768681199753","24.459040510149595","24.363306949212496","23.658891562533366","24.723313320726564","25.19304482051703","25.280806533387736","25.354765816542095","25.2340558","25.2892264"
"1.B.2.a  Oil","12.859468179580536","12.859468179580536","11.518328995884061","9.954279758659938","8.81819238588715","7.917522219248626","7.6454155730474245","7.5059221473581825","7.61611861062297","7.555353512986567","7.604861246608701","8.06162165104327","8.675005027280645","9.45837124295854","10.497559929737637","11.447863230796748","11.716966916759563","11.97489064677803","12.232781120671493","12.162895550459238","12.319718389447876","12.598233320726564","12.771109749724921","12.930106501112634","13.005401769597528","13.1264958","13.3042264"
"1.B.2.b  Natural Gas","5.91166","5.91166","5.9444799999999995","5.71506","5.57283","5.30233","5.19532","5.26689","5.18054","5.2757","5.36834","5.4493","5.43112","5.49312","5.787310000000001","5.89341","5.99195","6.14963","6.0712600000000005","6.1420200000000005","5.19823","5.80444","6.0008","5.84586","5.82299","5.56649","5.37507"
"1.B.2.c  Venting and Flaring","6.373055227661259","6.373055227661259","5.726175906696229","4.941760366647611","4.368460183395392","3.917434343599092","3.7921803384949806","3.7255124831479835","3.786708334520387","3.7579076618193787","3.790397639796877","4.012365888771875","4.3123398288972625","4.738342173041217","5.24101790772983","5.725543519538881","5.864953955477234","5.993166165219498","6.154999389478103","6.058391398753258","6.140943173085486","6.32064","6.421135070792109","6.504840032275101","6.526374046944567","6.5410699999999995","6.60993"
"1.B.2.d  Other","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 15:03:17 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
