"Annual greenhouse gas (GHG) emissions for Russian Federation, in Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Russian Federation — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: CO2 — Unit: Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","72.13125544487857","72.13125544487857","67.51213352760277","57.30723249243623","49.30688739221111","43.59721688365891","43.46182785023661","43.09502601745387","44.58898291994681","44.393879936893065","45.79641368753991","47.50893261280769","50.11299267158909","60.478026385344194","64.05593467055254","71.04605452703903","73.32865347661654","74.69899121567462","81.99775290398727","71.50839954690217","73.09225000956708","80.96036251438394","84.22776012010062","85.66817170905274","82.74374504166894","75.47648450000001","71.5452509"
"1.B.2.a  Oil","49.0264649289876","49.0264649289876","43.79970588514897","37.7937657109587","33.46241628165071","30.0485804451335","28.93136991518693","28.390750921920713","28.771686309394265","28.497286818737347","28.612349714055536","30.35060237504348","32.67004107428193","35.57327909335979","39.511497037545865","42.966725960178294","43.907087650116445","44.83264181903483","45.90274425786381","45.70130572976985","46.36367313786334","47.130462514383936","47.6996201295496","48.23381596128545","48.248751978777065","48.59354450000001","48.7096009"
"1.B.2.b  Natural Gas","0.19654","0.19654","0.19865000000000002","0.19588","0.18967","0.18572","0.18189","0.18354","0.17415","0.17993","0.18001","0.17786000000000002","0.17707","0.18041","0.18681","0.18986000000000003","0.19201","0.19657","0.19481","0.19719","0.17185","0.19262","0.19866","0.19272","0.1945","0.18556","0.18074"
"1.B.2.c  Venting and Flaring","22.908250515890987","22.908250515890987","23.513777642453806","19.317586781477523","15.654801110560397","13.362916438525415","14.348567935049681","14.520735095533156","15.643146610552543","15.716663118155716","17.00405397348438","16.980470237764205","17.26588159730716","24.72433729198441","24.35762763300668","27.889468566860735","29.229555826500103","29.6697793966398","35.90019864612347","25.60990381713232","26.55672687170375","33.63728","36.329479990551015","37.24163574776729","34.30049306289187","26.697380000000002","22.65491"
"1.B.2.d  Other","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 15:02:56 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
