"Annual greenhouse gas (GHG) emissions for Russian Federation, in Mt CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Russian Federation — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: Aggregate GHGs — Unit: Mt CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","700.9154985567287","700.9154985567287","647.4079023802269","572.7294351219867","518.4176118263645","472.1384172750134","459.39499729418025","455.6628613153467","459.28780529802117","459.23204097479913","465.00515386726743","485.7133843960239","510.70255018901974","552.8830498210777","602.3687685460703","647.9010194075621","662.8663655653847","677.8353140539399","693.6915125835405","680.7730768793239","664.7520080254806","699.255237134548","714.2760485044721","717.9154282402914","716.8302255497388","706.5185995","703.9547109"
"1.B.2.a  Oil","370.6160121873061","370.6160121873061","331.8498013223673","286.730028506319","253.98740883891935","228.0496589605107","220.12743296875607","216.09834362311392","219.23498684445897","217.44088114515895","218.79387346486115","231.95478229296285","249.61366945128103","272.1071468970629","302.03334136981783","329.2533886402294","336.9233089559538","344.29889378681264","351.81850910446445","349.86951351335994","354.4538459706397","362.185097134548","367.0773517441184","371.58758181524655","373.4849113132327","376.85725950000005","381.41658089999993"
"1.B.2.b  Natural Gas","147.98804","147.98804","148.81065","143.07238","139.51042","132.74397","130.06489","131.85579","129.68765","132.07243","134.38851000000002","136.41036","135.95507","137.50841","144.86956","147.52510999999998","149.99076000000002","153.93732","151.97631","153.74769","130.1276","145.30362","150.21866","146.33922","145.76925","139.34781","134.55749"
"1.B.2.c  Venting and Flaring","182.3114463694225","182.3114463694225","166.74745105785956","142.9270266156678","124.91978298744519","111.34478831450271","109.20267432542418","107.70872769223274","110.3651684535622","109.71872982964017","111.8227704024063","117.34824210306107","125.1338107377387","143.26749292401485","155.46586717625246","171.12252076733276","175.95229660943096","179.59910026712725","189.89669347907605","177.15587336596377","180.1705620548409","191.76651999999998","196.98003676035378","199.98862642504486","197.576064236506","190.31353000000001","187.98064000000002"
"1.B.2.d  Other","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 15:03:42 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
