"Annual greenhouse gas (GHG) emissions for United States of America, in Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: United States of America — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: CH4 — Unit: Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","9.980956039348271","9.980956039348271","10.080848196315644","9.963661159060107","9.817682413330528","9.75818141243605","9.432551611096171","9.294991926063199","9.185397191293962","8.937553883645964","8.808549385733622","8.680639372025194","8.677220371189525","8.39634493502666","8.3431682138711","8.247550562773918","8.22705148333462","8.339898065582856","8.240259065373315","8.391741239597601","8.091296417160986","7.9704232718291585","8.101531466204381","8.105046643462458","8.146928544043726","8.221599706192782","8.092036160774025"
"1.B.2.a  Oil","2.2184830810544782","2.2184830810544782","2.220828140234415","2.1521194529413057","2.1050987090813473","2.0671726828356664","2.034570850696411","2.0211493162624143","2.0174541053061214","1.9594166613544577","1.893320145075772","1.892246945642665","1.8846145701625196","1.8611833818375547","1.8515724401672413","1.8409165159545175","1.8397509697257183","1.851678339337838","1.8486005236852276","1.881845240788908","1.8478869845743333","1.8783805322027631","1.9217176855963076","1.8577945510550832","1.778432943298731","1.7206102124249007","1.595022940018401"
"1.B.2.b  Natural Gas","7.7624729582937935","7.7624729582937935","7.86002005608123","7.811541706118803","7.712583704249182","7.691008729600384","7.3979807603997605","7.273842609800786","7.16794308598784","6.9781372222915055","6.915229240657851","6.788392426382529","6.7926058010270065","6.535161553189106","6.491595773703858","6.406634046819402","6.387300513608901","6.488219726245018","6.391658541688087","6.509895998808695","6.243409432586652","6.092042739626396","6.179813780608074","6.247252092407376","6.368495600744995","6.500989493767881","6.497013220755624"
"1.B.2.c  Venting and Flaring","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE"
"1.B.2.d  Other","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 14:58:33 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
