"Annual greenhouse gas (GHG) emissions for United States of America, in Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: United States of America — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: CO2 — Unit: Mt",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","41.284488270445145","41.284488270445145","41.479627822399635","41.22807155315886","44.60089182354091","44.71819392921169","46.29967464545522","43.86986956555684","43.53250822904467","33.603036212755626","34.611530380943115","33.792724531051775","33.27103018520478","33.99992892703046","32.91700240598047","32.68691081832356","34.0022879869129","34.10771175219783","34.90639658367896","36.580404883607954","36.04654205779307","36.593526677883226","39.854349862329016","39.0788118820214","42.150813514804966","45.917794953865915","45.917794953865915"
"1.B.2.a  Oil","3.55256901529276","3.55256901529276","3.528341372929725","3.550687603590355","3.5740921274757435","3.629452606650411","3.656976357640387","3.721608089882505","3.8324259774141","3.88439416665589","3.8490264650275962","3.9227367701530124","3.9325282469258584","3.8844763950462955","3.966607329419068","4.011220322286995","3.926561748494056","3.9335035967940963","3.9238827388280373","3.806062429253087","3.7448546684813277","4.154079431851747","4.1919718929748795","3.876183360047904","3.6934177349457666","3.567109559880334","3.567109559880334"
"1.B.2.b  Natural Gas","37.73191925515239","37.73191925515239","37.95128644946991","37.67738394956851","41.02679969606517","41.088741322561276","42.64269828781484","40.14826147567434","39.700082251630576","29.71864204609974","30.762503915915516","29.869987760898766","29.338501938278916","30.115452531984164","28.950395076561406","28.675690496036566","30.075726238418838","30.174208155403732","30.982513844850928","32.774342454354866","32.301687389311745","32.43944724603148","35.66237796935414","35.2026285219735","38.4573957798592","42.350685393985586","42.350685393985586"
"1.B.2.c  Venting and Flaring","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE"
"1.B.2.d  Other","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE","IE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 14:58:11 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
