"Annual greenhouse gas (GHG) emissions for United States of America, in Mt CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: United States of America — Years: All years — Category: 1.B.2 Oil and Natural Gas and Other Emissions from Energy Production — Gas: Aggregate GHGs — Unit: Mt CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Last Inventory Year (2015)"
"1.B.2  Oil and Natural Gas and Other Emissions from Energy Production","290.80838925415196","290.80838925415196","293.50083273029076","290.31960052966155","290.0429521568042","288.672729240113","282.1134649228595","276.24466771713685","273.1674380113937","257.0418833039047","254.8252650242837","250.80870883168166","250.20153946494292","243.908552302697","241.49620775275798","238.87567488767155","239.67857507027838","242.60516339176922","240.91287321801184","246.37393587354802","238.32895248681774","235.8541084736122","242.39263651743855","241.70497796858285","245.82402711589813","251.45778760868544","248.21869897321656"
"1.B.2.a  Oil","59.014646041654714","59.014646041654714","59.049044878790106","57.353673927123","56.201559854509426","55.308769677542074","54.52124762505066","54.25034099644285","54.268778610067144","52.869810700517334","51.18203009192189","51.22891041121964","51.04789250098885","50.41406094098516","50.25591833360009","50.034133221149936","49.92033599163702","50.22546208024005","50.138895830958724","50.85219344897578","49.94202928283966","51.11359273692082","52.23491403288257","50.32104713642499","48.15424131741404","46.58236487050286","43.44268306034036"
"1.B.2.b  Natural Gas","231.79374321249722","231.79374321249722","234.45178785150068","232.9659266025386","233.84139230229474","233.36395956257087","227.59221729780884","221.994326720694","218.8986594013266","204.1720726033874","203.6432349323618","199.579798420462","199.15364696395412","193.49449136171182","191.24028941915785","188.8415416665216","189.75823907864137","192.37970131152915","190.77397738705312","195.52174242457224","188.38692320397806","184.7405157366914","190.15772248455596","191.3839308321579","197.6697857984841","204.87542273818263","204.77601591287617"
"1.B.2.c  Venting and Flaring","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE","IE,NE"
"1.B.2.d  Other","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Antigua and Barbuda, Armenia, Colombia, Ghana, Jamaica, Kiribati, Mauritania, Namibia, Samoa, Serbia, Suriname and Swaziland) and biennial update reports (Andorra, Argentina, Armenia, Chile, Colombia, Costa Rica, Indonesia, Jordan, The Former Yugoslav Republic of Macedonia, Mauritania, Mongolia, Montenegro, Namibia, Serbia, South Africa, Togo and Tunisia).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: --- means ""No data available""; n.a. means ""not applicable"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Wednesday, 14-February-2018 15:02:20 GMT+0100 (W. Europe Standard Time)",,,,,,,,,,,,,,,,,,,,,,,,,,,
