"";"COUNTRY";"TIMER_CARRIER";"Year";"AVBUNK";"EXPORTS";"IMPORTS";"MARBUNK";"STOCKCHA";"TPES";"production"
"1";"ALBANIA";"Gas";1990;0;0;0;0;0;8505,27;8505,27
"2";"ALBANIA";"Gas";1991;0;0;0;0;0;4948,59;4948,59
"3";"ALBANIA";"Gas";1992;0;0;0;0;0;3584,57;3584,57
"4";"ALBANIA";"Gas";1993;0;0;0;0;0;2864,78;2864,78
"5";"ALBANIA";"Gas";1994;0;0;0;0;0;1823,77;1823,77
"6";"ALBANIA";"Gas";1995;0;0;0;0;0;969,03;969,03
"7";"ALBANIA";"Gas";1996;0;0;0;0;0;804,37;804,37
"8";"ALBANIA";"Gas";1997;0;0;0;0;0;639,7;639,7
"9";"ALBANIA";"Gas";1998;0;0;0;0;0;579,45;579,45
"10";"ALBANIA";"Gas";1999;0;0;0;0;0;565,05;565,05
"11";"ALBANIA";"Gas";2000;0;0;0;0;0;376,98;376,98
"12";"ALBANIA";"Gas";2001;0;0;0;0;0;294,21;294,21
"13";"ALBANIA";"Gas";2002;0;0;0;0;0;489,48;489,48
"14";"ALBANIA";"Gas";2003;0;0;0;0;0;451,67;451,67
"15";"ALBANIA";"Gas";2004;0;0;0;0;0;346,42;346,42
"16";"ALBANIA";"Gas";2005;0;0;0;0;0;376,98;376,98
"17";"ALBANIA";"Gas";2006;0;0;0;0;0;376,98;376,98
"18";"ALBANIA";"Gas";2007;0;0;0;0;0;602,82;602,82
"19";"ALBANIA";"Gas";2008;0;0;0;0;0;301,41;301,41
"20";"ALBANIA";"Gas";2009;0;0;0;0;0;307,73;307,73
"21";"ALBANIA";"Gas";2010;0;0;0;0;0;484,08;484,08
"22";"ALBANIA";"Gas";2011;0;0;0;0;0;502,96;502,96
"23";"ALBANIA";"Gas";2012;0;0;0;0;0;553,33;553,33
"24";"ALBANIA";"Gas";2013;0;0;0;0;0;610,02;610,02
"25";"ALBANIA";"Gas";2014;0;0;0;0;0;1039,21;1039,21
"26";"ALBANIA";"Gas";2015;0;0;0;0;0;1145,38;1145,38
"27";"ALBANIA";"OilHeavy";1990;0;-1279,99;2839,99;0;1561,09;51771,7;48650,61
"28";"ALBANIA";"OilHeavy";1991;0;-2080;0;0;0;34931,31;37011,31
"29";"ALBANIA";"OilHeavy";1992;0;-680,02;0;0;0;24105,84;24785,86
"30";"ALBANIA";"OilHeavy";1993;0;-759,99;0;0;-1192,82;23454,36;25407,17
