VSF_nr,ISO,IMAGE,TIMER,GISMO,location_name,location_code,location
1,4,18,25,20,Afghanistan,AFG,160
2,8,12,12,14,Albania,ALB,43
3,12,7,7,7,Algeria,DZA,139
4,16,24,24,27,American Samoa,ASM,0
5,20,11,11,13,Andorra,AND,74
6,24,10,26,11,Angola,AGO,168
7,31,16,16,17,Azerbaijan,AZE,34
8,32,6,6,5,Argentina,ARG,97
9,36,24,24,27,Australia,AUS,71
10,40,11,11,13,Austria,AUT,75
11,44,4,4,4,The Bahamas,BHS,106
12,48,17,17,19,Bahrain,BHR,140
13,50,18,25,20,Bangladesh,BGD,161
14,51,16,16,17,Armenia,ARM,33
15,52,4,4,4,Barbados,BRB,107
16,56,11,11,13,Belgium,BEL,76
17,60,4,4,4,Bermuda,BMU,0
18,64,18,25,20,Bhutan,BTN,162
19,68,6,6,5,Bolivia,BOL,121
20,70,12,12,14,Bosnia and Herzegovina,BIH,44
21,72,10,26,11,Botswana,BWA,193
22,76,5,5,6,Brazil,BRA,135
23,84,4,4,4,Belize,BLZ,108
24,90,24,24,27,Solomon Islands,SLB,28
25,92,4,4,4,Virgin Isl. (Br.),VGB,0
26,96,21,21,24,Brunei,BRN,66
27,100,12,12,14,Bulgaria,BGR,45
28,104,21,21,24,Myanmar,MMR,15
29,108,9,9,10,Burundi,BDI,175
30,112,14,14,15,Belarus,BLR,57
31,116,21,21,24,Cambodia,KHM,10
32,120,8,8,9,Cameroon,CMR,202
33,124,1,1,1,Canada,CAN,101
34,132,8,8,8,Cape Verde,CPV,203
35,136,4,4,4,Cayman Islands,CYM,0
36,140,8,8,9,Central African Republic,CAF,169
37,144,18,25,20,Sri Lanka,LKA,17
38,148,8,8,8,Chad,TCD,204
39,152,6,6,5,Chile,CHL,98
40,156,20,20,22,China,CHN,6
41,158,20,20,22,Taiwan,TWN,8
42,170,6,6,5,Colombia,COL,125
43,174,9,9,10,Comoros,COM,176
44,178,8,8,9,Congo,COG,170
45,180,8,8,9,Democratic Republic of the Congo,COD,171
46,184,24,24,27,Cook Isl.,COK,0
47,188,4,4,4,Costa Rica,CRI,126
48,191,12,12,14,Croatia,HRV,46
49,192,4,4,4,Cuba,CUB,109
50,196,12,12,14,Cyprus,CYP,77
51,203,12,12,14,Czech Republic,CZE,47
52,204,8,8,8,Benin,BEN,200
53,208,11,11,13,Denmark,DNK,78
54,212,4,4,4,Dominica,DMA,110
55,214,4,4,4,Dominican Republic,DOM,111
56,218,6,6,5,Ecuador,ECU,122
57,222,4,4,4,El Salvador,SLV,127
58,226,8,8,9,Equatorial Guinea,GNQ,172
59,231,9,9,10,Ethiopia,ETH,179
60,232,9,9,10,Eritrea,ERI,178
61,233,12,12,14,Estonia,EST,58
62,234,11,11,13,Faeroe Islands,FRO,0
63,238,6,6,5,Falklands Isl.,FLK,0
